                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.79111,                0.46365,                0.94349,                0.88773,                0.72141,                 0.8219,                0.55124,                0.85383,                0.49649,                0.99247,             0.00016991,             0.00016991,             0.00016991
                     91,                0.77929,                0.45352,                0.94116,                0.87307,                0.72149,                0.82201,                0.55383,                 0.8496,                0.49431,                0.99147,             0.00015576,             0.00015576,             0.00015576
                     92,                0.77043,                0.44839,                0.93724,                0.88057,                0.72921,                0.82472,                0.55841,                0.84833,                0.49075,                0.98971,             0.00014161,             0.00014161,             0.00014161
                     93,                0.76206,                0.44415,                0.93614,                0.86877,                0.72872,                0.82591,                0.55791,                0.84384,                0.48893,                0.98783,             0.00012747,             0.00012747,             0.00012747
                     94,                0.76318,                0.44353,                0.93462,                0.87353,                0.73012,                0.82424,                 0.5592,                0.84056,                0.48552,                0.98776,             0.00011332,             0.00011332,             0.00011332
                     95,                0.75596,                0.44014,                0.93209,                0.89248,                0.71844,                0.82469,                0.56298,                0.83876,                 0.4867,                0.98583,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.75727,                0.44164,                0.93224,                0.89659,                0.71477,                0.82555,                0.56324,                0.83628,                0.48625,                0.98551,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.74994,                0.43796,                0.92976,                0.90195,                0.71377,                0.82716,                0.56235,                 0.8366,                0.48613,                0.98529,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.74739,                0.43628,                0.93142,                0.90381,                 0.7128,                0.82697,                0.56313,                0.83649,                0.48672,                0.98505,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.74748,                0.43616,                0.93315,                0.87659,                0.72899,                0.82636,                0.56153,                0.83733,                0.48648,                0.98558,             4.2584e-05,             4.2584e-05,             4.2584e-05
